Hogar;Sector;Zona;Comuna;DirCoordX;DirCoordY;Fecha;DiaAsig;TipoDia;Temporada;NumPer;NumVeh;NumBicAdulto;NumBicNino;Propiedad;MontoDiv;ImputadoDiv;MontoArr;ImputadoArr;IngresoHogar;Factor
153151;1;738;COLINA;343924,0764;6326336,243;02-04-2013;martes;1;1;4;0;2;0;1;;0;90000;0;407246;22,431303
153171;1;738;COLINA;343307,3543;6324511,675;13-11-2012;martes;1;1;4;0;0;0;1;;0;120000;0;300000;22,431303
153182;1;738;COLINA;343334,8135;6324485,038;13-11-2012;martes;1;1;6;0;0;1;1;;0;140000;0;1225066;53,759811
153191;1;738;COLINA;343962,3564;6325989,483;07-02-2013;jueves;1;2;5;0;0;1;5;;0;120000;0;1100000;27,385883
153200;1;753;LAMPA;324302,5647;6316034,958;16-08-2012;jueves;1;1;5;0;2;3;1;;0;80000;0;250000;107,755890
153211;1;738;COLINA;343564,0274;6324962,585;13-11-2012;martes;1;1;4;1;0;0;1;;0;120000;0;828066;144,088837
153220;1;738;COLINA;344586,3449;6325984,622;12-02-2013;martes;1;2;3;0;0;0;3;;0;120000;0;400000;58,807510
153231;1;738;COLINA;343866,6501;6327022,64;01-04-2013;lunes;1;1;3;0;0;0;1;;0;120000;0;1100000;58,807510
153240;1;737;COLINA;344175,7004;6324479,901;06-02-2013;miércoles;1;2;4;0;0;0;5;;0;135000;0;850000;28,952494
153251;1;738;COLINA;343889,5099;6325472,136;06-02-2013;miércoles;1;2;2;0;0;0;3;;0;120000;0;500000;61,522572
153261;1;738;COLINA;343827,9519;6325572,08;06-02-2013;miércoles;1;2;2;0;0;0;5;;0;150000;0;150000;61,522572
153270;1;739;COLINA;337638,2573;6320731,171;14-09-2012;viernes;1;1;2;0;0;0;1;;0;80000;0;78000;250,958084
153281;1;738;COLINA;344712,4179;6326466,946;02-04-2013;martes;1;1;3;0;1;0;1;;0;80000;0;397475;58,807510
153291;1;738;COLINA;344757,3454;6326597,204;02-04-2013;martes;1;1;3;0;2;0;1;;0;110000;0;250000;58,807510
153301;1;738;COLINA;344713,4909;6326434,688;02-04-2013;martes;1;1;1;1;0;0;1;;0;80000;0;300000;546,659119
153311;1;738;COLINA;344297,0451;6327038,158;11-02-2013;lunes;1;2;3;1;0;0;3;;0;165000;0;700000;377,753296
153321;1;738;COLINA;344317,5933;6327131,994;11-02-2013;lunes;1;2;3;0;1;0;3;;0;140000;0;300000;58,807510
153330;1;738;COLINA;344347,2753;6327066,143;11-02-2013;lunes;1;2;3;0;0;1;1;;0;130000;0;750000;58,807510
153341;1;753;LAMPA;325553,8;6315792,83;10-09-2012;lunes;1;1;4;0;1;0;1;;0;111896;1;1073228;126,975594
153351;1;737;COLINA;344031,8159;6324936,655;14-11-2012;miércoles;1;1;5;0;0;0;1;;0;120000;0;1230000;35,347458
153361;1;738;COLINA;345603,4024;6327802,283;14-11-2012;miércoles;1;1;2;0;0;0;1;;0;120000;0;740000;61,522572
153371;1;751;LAMPA;331754,0212;6321485,846;23-03-2013;sábado;2;1;5;1;3;1;1;;0;70000;0;743988;26,358965
153381;1;738;COLINA;343117,1883;6324526,386;06-02-2013;miércoles;1;2;6;1;0;2;1;;0;120000;0;650000;345,329254
153391;1;738;COLINA;343125,2693;6324474,975;06-02-2013;miércoles;1;2;4;0;0;0;1;;0;140000;0;150000;22,431303
153401;3;315;LAS CONDES;357594,1975;6304384,609;14-02-2013;jueves;1;2;2;2;1;98;2;770000;0;643677;1;1211099;83,059647
153411;3;291;LAS CONDES;353192,7841;6300674,697;27-02-2013;miércoles;1;2;1;0;98;98;1;;0;400000;0;583382;134,377762
153422;3;291;LAS CONDES;353259,7857;6300824,784;27-02-2013;miércoles;1;2;3;1;0;0;1;;0;400703;1;698896;88,619217
153431;3;287;LAS CONDES;352177,4375;6301790,291;08-05-2013;miércoles;1;1;4;1;2;0;1;;0;369178;1;885233;94,685112
153441;3;287;LAS CONDES;352176,9539;6301791,503;08-05-2013;miércoles;1;1;3;1;1;0;1;;0;472443;1;1582681;80,580505
153451;3;287;LAS CONDES;352176,9539;6301791,503;08-05-2013;miércoles;1;1;3;1;1;0;1;;0;365671;1;537770;80,580505
153461;3;287;LAS CONDES;352176,9539;6301791,503;08-05-2013;miércoles;1;1;2;1;2;0;3;;0;417896;1;768957;56,282253
153471;3;293;LAS CONDES;355289,4052;6301193,5;30-05-2013;jueves;1;1;1;1;0;0;1;;0;415079;1;1044786;63,422398
153480;3;293;LAS CONDES;355353,7617;6301263,259;30-05-2013;jueves;1;1;4;1;1;0;1;;0;442538;1;855760;133,328522
153491;3;312;LAS CONDES;355302,0266;6303352,994;24-01-2013;jueves;1;2;2;2;0;0;1;;0;300000;0;4459047;94,306564
153501;3;312;LAS CONDES;355320,6339;6303245,357;23-02-2013;sábado;2;2;1;1;0;0;3;;0;466177;1;856576;29,924980
153511;3;287;LAS CONDES;351337,5454;6301915,613;09-05-2013;jueves;1;1;1;2;0;0;1;;0;699026;1;1869904;113,589935
153521;3;301;LAS CONDES;360118,1414;6304904,782;29-09-2013;domingo;2;1;4;2;2;0;1;;0;368425;1;383184;159,321930
153531;3;320;LAS CONDES;354051,6057;6302923,812;24-04-2013;miércoles;1;1;2;1;1;0;3;;0;549812;1;1724216;59,425167
153541;3;294;LAS CONDES;357208;6300729;09-10-2012;martes;1;1;2;0;0;0;1;;0;379470;1;628218;124,686783
153551;3;296;LAS CONDES;354821,5252;6302218,281;07-12-2012;viernes;1;1;1;1;0;0;1;;0;400000;0;1205301;49,975941
153561;3;296;LAS CONDES;354943,6225;6302215,882;07-12-2012;viernes;1;1;3;1;0;9;1;;0;458917;1;854402;89,410667
153571;3;291;LAS CONDES;352910,2919;6301758,706;18-02-2013;lunes;1;2;3;1;2;0;2;500000;0;700000;0;1300000;88,619217
153581;3;291;LAS CONDES;352956,2876;6301673,941;18-02-2013;lunes;1;2;3;0;1;0;2;450000;0;600000;0;1300000;240,411789
153591;3;291;LAS CONDES;352967,9541;6301653,387;18-02-2013;lunes;1;2;1;0;1;0;2;500000;0;700000;0;800000;134,377762
153601;3;291;LAS CONDES;352920,772;6301582,861;18-02-2013;lunes;1;2;3;1;1;0;2;450000;0;700000;0;1800000;88,619217
153611;3;303;LAS CONDES;355634,3168;6300063,842;26-10-2012;viernes;1;1;2;1;0;0;1;;0;450000;0;249038;49,062778
153621;3;289;LAS CONDES;352038,2611;6300777,375;09-11-2012;viernes;1;1;4;2;1;0;3;;0;730676;1;2700171;207,084442
153631;3;312;LAS CONDES;354631,6904;6302772,02;05-06-2013;miércoles;1;1;2;2;1;0;1;;0;570551;1;964728;94,306564
153642;3;312;LAS CONDES;354494,7815;6302840,597;11-10-2013;viernes;1;1;4;1;0;0;1;;0;1000000;0;578389;62,909206
153651;3;307;LAS CONDES;354047,0955;6302370,125;22-02-2013;viernes;1;2;2;0;0;0;1;;0;351028;1;1140286;179,101257
153661;3;307;LAS CONDES;354040,9931;6302380,015;22-02-2013;viernes;1;2;1;1;1;0;3;;0;400000;0;146765;52,832478
153671;3;297;LAS CONDES;356000,3978;6302400,057;05-02-2013;martes;1;2;5;2;1;0;1;;0;350000;0;1657810;233,393829
153691;3;304;LAS CONDES;353761,3806;6300429,159;13-11-2012;martes;1;1;3;1;0;0;2;353334;1;422825;1;420755;53,186050
153700;3;304;LAS CONDES;353630,0798;6300459,841;08-04-2013;lunes;1;1;3;2;1;0;1;;0;494647;1;1001440;134,133087
153711;3;304;LAS CONDES;353690,0051;6300406,295;13-11-2012;martes;1;1;4;2;0;0;3;;0;559399;1;1709801;157,611435
153721;3;287;LAS CONDES;351863,908;6301773,11;16-04-2013;martes;1;1;2;2;2;2;1;;0;646594;1;2111187;141,941605
153731;3;287;LAS CONDES;351807,5618;6301799,715;16-04-2013;martes;1;1;7;1;2;5;1;;0;344157;1;1533065;107,303856
153741;3;287;LAS CONDES;351858,3006;6301869,589;16-04-2013;martes;1;1;4;1;2;1;1;;0;409341;1;791329;94,685112
153751;3;312;LAS CONDES;354768,0683;6302955,843;11-10-2013;viernes;1;1;2;2;0;0;1;;0;500000;0;1225249;94,306564
153761;3;312;LAS CONDES;354768,0683;6302955,843;11-10-2013;viernes;1;1;1;1;0;0;1;;0;600000;0;1106274;29,924980
153771;3;297;LAS CONDES;356317,262;6303875,3;23-01-2013;miércoles;1;2;4;2;0;0;1;;0;426155;1;519103;183,011703
153781;3;292;LAS CONDES;353604,0901;6301648,287;04-05-2013;sábado;2;1;2;1;0;0;1;;0;491833;1;1323225;63,796185
