Hogar;Vehiculo;TipoVeh;MarcaVeh;ModeloVeh;AnoVeh;EdadVehiculo;CilindradaVeh;Combustible;SelloVerde;Propiedad
102550;10255001;1;17;CORSA;2008;2;2000;1;2;1
102570;10257001;1;24;150;1981;5;1500;1;2;1
102602;10260201;1;0;206;2006;3;9999;1;2;1
102610;10261001;1;65;504;9998;9;9999;1;2;1
102681;10268101;1;0;98;9998;9;99998;1;1;4
102701;10270101;1;86;COROLLA;1998;4;1600;1;2;1
102710;10271001;1;0;S;2010;1;98;1;2;1
102721;10272101;1;0;AACCENT;2008;2;98;1;2;1
102721;10272102;1;0;CORSA;2010;1;98;1;2;1
102730;10273001;1;17;CORSA;2008;2;98;1;2;1
102741;10274101;1;86;S;2006;3;98;1;2;1
102741;10274102;3;0;S;2010;1;98;2;2;1
102771;10277101;1;17;SPARK;9998;9;1000;1;1;1
102791;10279101;1;86;YARIS;2000;4;99998;1;2;1
102801;10280101;1;45;POP;2008;2;99998;1;2;1
102811;10281101;1;0;98;9998;9;99998;1;1;1
102820;10282001;1;17;CAUTIVO;2012;1;99998;1;2;1
102831;10283101;1;37;98;2010;1;99998;1;2;1
102842;10284201;1;22;RACER;2002;3;9999;1;2;1
102851;10285101;1;86;COLROLLA;2005;3;99999;1;2;1
102851;10285102;3;17;S10;2001;4;99999;1;2;1
102861;10286101;3;17;CAPTIVA;2007;2;99999;2;2;1
102861;10286103;1;86;COROLLA;2006;3;99999;1;2;1
102861;10286102;3;59;1200;2007;2;99999;2;2;1
102871;10287102;3;59;MONTERO;2012;1;99998;1;2;1
102871;10287101;1;11;98;2013;9;99998;1;2;1
102881;10288101;1;82;CORANDO;9999;9;99999;1;1;1
102890;10289002;1;72;98;2012;1;99998;1;2;1
102890;10289001;1;0;98;2008;2;99998;1;2;1
102921;10292101;3;25;98;1993;5;99998;1;2;1
103001;10300102;3;82;MUSSO;2009;2;1800;1;2;1
103001;10300101;3;82;MUSSO;2010;1;1800;1;2;1
103010;10301001;3;0;TODO TERRENO;2010;1;99998;2;2;1
103030;10303001;3;0;LUV;2001;4;2000;1;2;1
103081;10308102;1;54;6;9998;9;99998;1;1;1
103081;10308101;1;18;99;9999;9;99998;1;1;1
103090;10309001;3;52;99;9999;9;99999;1;1;1
103090;10309002;1;86;YARIS;9998;9;99998;1;1;1
103101;10310101;1;86;YARIS;9998;9;99998;1;1;1
103111;10311101;3;84;GRAN MANADA;2010;1;99998;1;2;1
103140;10314001;1;0;98;2001;4;99998;1;2;1
103162;10316201;6;0;N;2007;2;98;1;2;4
103170;10317001;1;45;M;2008;2;98;1;2;1
103180;10318001;1;86;COROLA;2011;1;99998;1;2;1
103221;10322101;1;84;MARUTI;1999;4;800;1;2;1
103231;10323101;3;86;HILUX;2012;1;99998;1;2;1
103241;10324101;3;86;HILUX;2007;2;99998;1;2;1
103241;10324102;1;84;GX4;2007;2;99998;1;2;1
103331;10333101;3;0;SANTAFE;2010;1;2200;2;2;1
103360;10336001;1;61;V-16;1998;4;1600;1;2;1
103371;10337101;1;54;323;1999;4;1600;1;2;1
103381;10338101;1;65;206;1999;4;1600;1;2;1
103392;10339201;1;17;CORSA;2004;3;1600;1;2;1
103441;10344101;1;84;BALENO;2003;3;1600;1;2;1
103491;10349101;1;17;SPARK;2010;1;1600;1;2;1
103501;10350101;1;37;ACCENT;2001;4;1600;2;2;1
103511;10351101;1;86;YARIS;2009;2;1600;1;2;1
103541;10354101;1;37;ACCENT;2005;3;1600;1;2;1
103550;10355001;1;84;IGNIS;2009;2;1300;1;2;1
103591;10359101;1;0;ACCENT;2010;1;1600;1;2;1
103641;10364101;1;37;ACCENT;2009;2;1600;2;2;1
103651;10365101;1;86;TERCEL;2001;4;1600;1;2;1
103660;10366001;1;17;CORSA;2003;3;1600;1;2;1
103670;10367001;1;83;LEGASY;1976;5;1200;1;2;1
103741;10374101;1;65;306;2003;3;1600;1;2;1
103751;10375101;4;45;1100;1998;4;2400;2;2;1
103751;10375102;4;45;1100;2003;3;2500;2;2;1
103781;10378101;1;86;YARIS;2010;1;1600;1;2;1
103801;10380101;1;65;206;2001;4;1600;2;2;1
103821;10382101;1;72;CLIO;2011;1;1600;1;2;1
103881;10388101;1;86;TERCEL;2008;2;1600;1;2;1
103891;10389101;1;30;EXPLORET;1997;4;4000;2;2;1
103911;10391101;1;87;GOL;2003;3;1600;1;2;1
103931;10393101;1;64;CORSA;2006;3;1600;1;2;1
103970;10397001;1;45;POP;1995;5;1600;2;2;1
104001;10400101;1;86;YARIS;2009;2;1600;1;2;1
104031;10403101;1;37;ACCENT;2010;1;1600;2;2;1
104071;10407101;1;17;SPARK;2009;2;1600;1;2;1
104101;10410101;1;86;YARIS;2009;2;1600;1;2;1
104111;10411101;3;37;SANTA FE;2010;1;2000;2;2;1
104121;10412101;1;61;V16;1999;4;1600;2;2;1
104151;10415101;1;65;206;2006;3;1600;1;2;1
104201;10420101;6;0;H100;2001;4;3200;2;2;1
104231;10423101;1;84;BALENO;2001;4;1600;1;2;1
104241;10424101;1;17;CORSA;1996;5;1600;1;2;1
104251;10425101;1;54;3;2012;1;2000;1;2;1
104271;10427101;1;29;PALIO;2000;4;1600;1;2;1
104371;10437101;1;17;SPARK;2010;1;1600;1;2;1
104391;10439101;3;87;SABEIRO;2012;1;2000;2;2;1
104461;10446101;1;17;LUV;2009;2;2000;1;2;1
104471;10447101;1;22;LANOS;1998;4;1600;1;2;1
104471;10447102;1;17;SPARCK;2007;2;1000;1;2;1
104481;10448101;1;64;ASTRA;2001;4;1600;1;2;1
104491;10449101;1;17;AVEO;2009;2;1600;1;2;1
104531;10453101;1;45;SPORT;2012;1;2000;1;2;1
104551;10455101;1;86;TERCEL;2001;4;1600;1;2;1
104591;10459101;1;16;CHEVET;2009;2;1300;1;2;1
104620;10462002;1;86;YARIS;2009;2;1600;1;2;1
104620;10462001;1;64;CORSA;2002;3;1600;1;2;1
104641;10464101;1;61;V 16;2003;3;1600;1;2;1
104651;10465101;1;72;CLIO;2009;2;1600;1;2;1
104661;10466101;1;64;ASTRA;1996;5;1400;1;2;1
104681;10468101;2;171;750;1999;4;750;1;2;1
104711;10471101;1;22;LANOS;2005;3;1600;1;2;1
104731;10473102;1;54;3;2010;1;1600;1;2;1
104731;10473101;1;19;C3;2007;2;1600;1;2;1
104761;10476101;1;0;V 16;1996;5;1600;1;2;1
104811;10481101;1;45;POP;2001;4;1600;1;2;1
104821;10482101;1;45;RIO;2010;1;1600;1;2;1
104881;10488101;1;37;TUCSON;2006;3;2000;1;2;1
104901;10490101;1;86;TERCEL;2001;4;1600;1;2;1
104971;10497101;1;84;ALTO;2005;3;1100;1;2;1
105021;10502101;3;17;MONTANA;1995;5;1800;1;2;1
105022;10502201;1;45;RIO;2009;2;1600;1;2;1
105041;10504101;1;17;AVEO;2008;2;1600;1;2;1
105041;10504102;1;84;SPART;2010;1;1600;1;2;1
105061;10506101;1;64;CORSA;2006;3;1600;1;2;1
105071;10507102;2;157;125;2013;9;750;2;2;1
105071;10507101;3;29;FIORINO;1993;5;1200;2;2;1
105082;10508201;1;84;IGNIS;2005;3;1300;1;2;1
105151;10515102;1;65;306;2009;2;1600;1;2;1
105151;10515101;1;86;YARIS;2010;1;1600;1;2;1
105161;10516101;1;86;YARIS;2010;1;1600;2;2;1
105171;10517101;1;19;C4;2009;2;1600;2;2;1
105221;10522101;1;17;SPAK;2011;1;1500;1;2;1
105251;10525101;1;17;CORSA;2007;2;1600;1;2;1
105260;10526001;1;0;;1980;5;99999;1;1;1
105381;10538101;3;84;NO SABE;2006;3;2000;1;2;1
105401;10540101;1;22;PONTI;1996;5;99999;1;2;1
105441;10544101;1;37;AXEL;1997;4;1200;1;2;1
105511;10551101;1;17;ASTRA;2003;3;1600;1;2;1
105521;10552101;1;17;AVEO;2004;3;1400;1;2;1
105561;10556101;2;0;LUV;1997;4;99999;1;2;1
105600;10560001;1;72;CLIO;1998;4;1600;1;2;1
105611;10561101;1;83;NO SABE;1995;5;1400;1;2;1
105651;10565101;5;37;H100;1994;5;99999;1;2;1
105711;10571101;1;45;VELA;9998;9;99999;1;1;1
105731;10573102;2;171;HENESSI;1989;5;2500;1;2;1
105731;10573101;1;17;CAVALIER;1998;4;2200;1;2;1
105781;10578101;1;17;CORSA;2006;3;99999;1;2;1
105800;10580001;1;84;MARUTI;2009;2;99998;1;2;1
105931;10593101;1;17;CORSA;2010;1;1600;1;2;1
106031;10603101;2;144;NO SABE;2010;1;125;1;2;1
106171;10617101;1;87;ESCARABAJO;1969;5;99999;1;2;1
106203;10620301;1;72;MEGANE;2000;4;1600;1;2;1
106223;10622301;5;86;NO SABE;1995;5;99999;2;2;2
106241;10624101;1;83;NO SABE;1998;4;99999;1;2;1
106281;10628101;1;61;;9999;9;99999;1;2;1
106291;10629101;1;37;ACCEN;2003;3;1600;1;2;1
106430;10643001;8;61;V 16;2008;2;1600;1;2;1
106451;10645101;1;61;V 16;2000;4;99999;1;2;1
106460;10646001;1;22;RACE;1993;5;99999;1;2;1
106511;10651101;1;0;626;1992;5;1600;1;1;1
106552;10655201;1;22;HEAVEN;2000;4;1600;1;2;1
106561;10656101;3;84;NO SABE;2000;4;1900;1;2;1
106601;10660101;1;22;LANSER;1999;4;1600;1;2;1
106610;10661001;1;45;;9998;9;99998;1;1;1
106661;10666101;1;0;ESTEICHON;2003;3;1600;1;2;1
106761;10676101;1;45;POP;1997;4;1100;1;2;1
106811;10681101;3;37;FOSTE;2010;1;99999;2;2;1
106941;10694101;1;17;CORSA;2000;4;1600;1;2;1
107020;10702001;1;37;TEONACAN;2005;3;99999;2;2;1
107071;10707101;1;17;DIVAN;9999;9;99999;1;1;1
107071;10707102;1;17;CRUZE;2011;1;1800;1;2;1
107080;10708001;1;17;4 POR4;1994;5;99999;1;2;1
107141;10714101;1;0;ALTO;2008;2;800;1;2;1
107181;10718101;1;22;HEAVEN;1996;5;1600;1;2;1
107221;10722101;1;37;NO SABE;1999;4;99999;1;2;1
107271;10727101;1;998;888;9998;9;99998;1;1;1
107301;10730101;1;22;REISA;1996;5;99999;1;2;1
107341;10734101;1;0;NO SABE;1998;4;99999;1;2;1
107411;10741101;1;37;AXE;9999;9;99999;1;2;1
107421;10742101;1;17;ASPAR;2012;1;1800;1;2;1
107430;10743001;1;17;SPART;2008;2;8000;1;2;1
107441;10744101;1;0;SAPORO;1981;5;2000;1;2;1
107472;10747201;1;37;ELANTRA;1993;5;1600;1;2;1
107541;10754102;1;86;;1995;5;99999;1;2;1
107541;10754101;1;0;;1997;4;99999;1;2;1
107621;10762101;1;17;CORSA;1993;5;1600;1;2;1
107641;10764101;3;61;NO SABE;2009;2;99999;1;2;1
107661;10766101;1;17;CORSA;2004;3;1600;1;2;1
107672;10767201;3;17;LUV;1990;5;99999;1;1;1
107751;10775101;1;0;;9999;9;99999;1;1;1
107761;10776101;1;61;SANY;1998;4;11600;1;2;1
107911;10791101;1;17;CORSA;2004;3;1600;1;2;1
107931;10793101;1;;;;9;;;2;
107951;10795101;3;;;;9;;;2;
107951;10795102;1;0;NO SABE;1981;5;1600;1;1;1
107971;10797101;1;22;DAIMOND;2000;4;1600;1;2;1
108011;10801101;1;30;RANGER;2010;1;2000;1;2;1
108062;10806201;1;37;SONATA;1996;5;1600;1;2;1
108102;10810201;1;17;CORSA PLUS;2009;2;99999;1;2;1
108151;10815101;1;17;CORSA;2004;3;1600;1;2;1
108201;10820101;1;17;ASTRA;2003;3;2000;1;2;1
108231;10823101;1;24;BLUEVIR;9999;9;1600;1;1;1
108242;10824201;1;65;305;9999;9;99999;1;2;1
108271;10827101;1;84;CELERIO;2010;1;1300;1;2;1
