Viaje;DistEuclidiana;DistManhattan;Imputada
1003320203;-1;-1;0
1003320204;-1;-1;0
1003420101;197;-1;1
1003420102;561;-1;1
1003420201;165;-1;1
1003420202;671;-1;1
1003500101;225;266;0
1003500102;225;266;0
1003500103;42820;47443;0
1003500104;42820;47443;0
1003500201;1837;2596;0
1003500202;1837;2596;0
1003600201;1258;-1;1
1003600202;1718;-1;1
1003700101;2196;2607;0
1003700102;2196;2607;0
1003700201;31561;36285;0
1003700202;267;289;0
1003700203;31629;36574;0
1003700301;1088;1242;0
1003700302;-1;-1;0
1003700303;-1;-1;0
1003720101;16899;21527;0
1003720102;16899;21527;0
1003820101;-1;-1;0
1003920101;840;898;0
1003920102;840;898;0
1003920201;594;825;0
1003920202;594;825;0
1003920401;710;788;0
1003920402;710;788;0
1003920501;710;788;0
1003920502;710;788;0
1004020101;123;-1;1
1004020102;850;-1;1
1004020301;1067;1458;0
1004020302;1067;1458;0
1004130101;817;943;0
1004130102;740;1010;0
1004130103;605;-1;1
1004130201;9928;10544;0
1004130202;9928;10544;0
1004200101;785;820;0
1004200102;785;820;0
1004200103;785;820;0
1004200104;785;820;0
1004200105;785;820;0
1004200106;785;820;0
1004200201;876;1219;0
1004200202;876;1219;0
1004520101;3969;4212;0
1004520102;3969;4212;0
1004520301;3574;3593;0
1004520302;3574;3593;0
1004520401;570;-1;1
1004520402;571;-1;1
1004520501;6218;6638;0
1004520502;6218;6638;0
1004610201;-1;-1;0
1004610202;-1;-1;0
1004610301;382;452;0
1004610302;367;490;0
1004720101;23785;29652;0
1004720102;23785;29652;0
1004720201;37805;47753;0
1004720202;37805;47753;0
1004820101;884;-1;1
1004820102;1858;-1;1
1004820103;901;-1;1
1004820104;1178;-1;1
1004820201;1430;-1;1
1004820202;927;-1;1
1004820203;2112;-1;1
1004820204;294;-1;1
1004820301;4528;5793;0
1004820302;4528;5793;0
1004900101;8268;11444;0
1004900102;2066;-1;1
1004900201;3510;3919;0
1004900202;5868;8084;0
1005010101;207604;271949;0
1005010201;1744;2343;0
1005010202;588;-1;1
1005010203;1720;1922;0
1005010204;1720;1922;0
1005010301;2277;3203;0
1005010302;2225;3132;0
1005010303;332;-1;1
1005010304;369;-1;1
1005010401;1775;1993;0
1005010402;1720;1922;0
1005010403;1720;1922;0
1005010404;1720;1922;0
1005010501;1260;1765;0
1005010502;1208;1694;0
1005010601;1260;1765;0
1005010602;1208;1694;0
1005010701;1775;1993;0
1005010702;1720;1922;0
1005100101;1138;1145;0
1005100102;1138;1145;0
1005100103;612;-1;1
1005100104;1022;-1;1
1005100201;726;-1;1
1005100202;819;-1;1
1005100301;752;819;0
1005100302;752;819;0
1005100401;4501;4610;0
1005100402;4501;4610;0
1005100501;2493;3464;0
1005100502;2493;3464;0
1005220101;-1;-1;0
1005220102;-1;-1;0
1005220103;-1;-1;0
1005220104;-1;-1;0
1005220201;-1;-1;0
1005220202;-1;-1;0
1005220301;-1;-1;0
1005220302;-1;-1;0
1005220401;-1;-1;0
1005220402;-1;-1;0
1005220501;-1;-1;0
1005320101;3371;3831;0
1005320102;3371;3831;0
1005410101;1657;1999;0
1005410102;1657;1999;0
