id,P15
1,Sala cuna o jardín infantil
98,No aplica
99,Missing
2,Prekínder
3,Kínder
4,Especial o diferencial
5,Educación básica
6,Primaria o preparatorio (sistema antiguo)
7,Científico-humanista
8,Técnica profesional
9,Humanidades (sistema antiguo)
10,"Técnica comercial, industrial/normalista (sistema antiguo)"
11,Técnico superior (1-3 años)
12,Profesional (4 o más años)
13,Magíster
14,Doctorado
