s2_cellid,EDUARDO ARTES BRICHETTI,GABRIEL BORIC FONT,JOSE ANTONIO KAST RIST,MARCO ENRIQUEZ-OMINAMI GUMUCIO,FRANCO PARISI FERNANDEZ,YASNA PROVOSTE CAMPILLAY,SEBASTIAN SICHEL RAMIREZ,Votos Blancos,Votos Nulos
10836426667920982016,0.012352309344790547,0.25832438238453276,0.3206229860365199,0.08163265306122448,0.11761546723952739,0.06928034371643395,0.13372717508055854,0.0026852846401718583,0.0037593984962406013
10836434089624469504,0.012409513960703205,0.32023440193036884,0.24836263357462943,0.08600482592209582,0.09996552912788693,0.0634264046880386,0.16339193381592554,0.0015511892450879006,0.004653567735263702
10836435567093219328,0.014296694850115296,0.3034588777863182,0.23812451960030745,0.08777863182167564,0.06456571867794005,0.11452728670253651,0.16771714066102997,0.0021521906225980014,0.007378939277478862
10836435601452957696,0.018900343642611683,0.32405498281786943,0.204553264604811,0.10807560137457045,0.10481099656357389,0.11563573883161513,0.11116838487972508,0.0026632302405498283,0.01013745704467354
10836435635812696064,0.03112175102599179,0.3991108071135431,0.12175102599179206,0.10465116279069768,0.18057455540355677,0.06053351573187415,0.09370725034199727,0.0013679890560875513,0.007181942544459644
10836435670172434432,0.025842696629213482,0.3552434456928839,0.1706928838951311,0.11273408239700375,0.12153558052434457,0.08632958801498128,0.11582397003745318,0.0032771535580524347,0.00852059925093633
10836435704532172800,0.01757834437829945,0.3439290126923509,0.19341794900595305,0.10170728967763676,0.07699651802763113,0.11114231158036617,0.14730989554082893,0.002021790407727732,0.005896888689205885
10836435738891911168,0.024136775058665773,0.31914180355346966,0.1620851491786792,0.12051625879986591,0.2023131076097888,0.05564867582970164,0.0856520281595709,0.0013409319477036541,0.029165269862554476
10836435807611387904,0.01586582048957389,0.2774252039891206,0.21056210335448777,0.12216681776971895,0.17293744333635538,0.08272892112420671,0.11174070716228468,0.001586582048957389,0.004986400725294651
10836436185568509952,0.031051677243880325,0.34632819582955576,0.18200362647325477,0.11808703535811424,0.12669990933816863,0.10766092475067997,0.07728921124206709,0.003626473254759746,0.007252946509519492
10836436254287986688,0.02249923989054424,0.3374885983581636,0.16357555487990272,0.14746123441775616,0.0979020979020979,0.12009729401033749,0.10307084220127698,0.0018242626938279112,0.006080875646093037
10836436323007463424,0.0217152281473337,0.2754260582737768,0.17564595931830676,0.14376030786146235,0.10362836723474436,0.11902144035184167,0.10637713029136889,0.003298515667949423,0.05112699285321605
10836436391726940160,0.023265833692373977,0.2964239551917277,0.1973287376130978,0.14433433864713485,0.09220163722533391,0.14174924601464886,0.0952175786299009,0.005170185264971995,0.004308487720809996
10836437147641184256,0.020512820512820513,0.27863247863247864,0.19521367521367522,0.1541880341880342,0.10735042735042735,0.11965811965811966,0.11692307692307692,0.002735042735042735,0.004786324786324786
10836437731756736512,0.026853306670475648,0.40694186544779315,0.15554920725610627,0.12041136980431368,0.1174117983145265,0.07384659334380803,0.09141551206970433,0.001999714326524782,0.005570632766747607
10836437800476213248,0.01721197084819352,0.3622267018142348,0.2136765389982943,0.09412311986354474,0.11536672352302682,0.06388587377888044,0.12699643355559,0.0010854396030392309,0.0054271980151961545
10836437834835951616,0.020843069445742594,0.35947284792971307,0.21413216188428824,0.10412188054958407,0.08542854472380597,0.09804654640620619,0.10935601458080195,0.001869333582577811,0.00672960089728012
10836437869195689984,0.016376778857013777,0.33431217528800544,0.23300203297944433,0.0988253896543935,0.07442963632256608,0.10763496724644228,0.12649649875762367,0.00169414953693246,0.007228371357578495
10836437903555428352,0.02510716472749541,0.47366809552969996,0.16503368034292712,0.08205756276791182,0.09552969993876301,0.052663808940600125,0.09583588487446418,0.0021432945499081446,0.007960808328230252
10836437937915166720,0.015457491897282473,0.243829468960359,0.28596360009972577,0.07354774370481176,0.14659685863874344,0.10795312889553728,0.11418598853153827,0.0039890301670406384,0.008476689104961356
10836438075354120192,0.03361344537815126,0.4271708683473389,0.1392156862745098,0.10112044817927171,0.15546218487394958,0.05070028011204482,0.08263305322128851,0.0028011204481792717,0.007282913165266107
10836438144073596928,0.03173483779971791,0.3392101551480959,0.11988716502115655,0.14386459802538787,0.191114245416079,0.07722143864598026,0.0729901269393512,0.007757404795486601,0.01622002820874471
10836438178433335296,0.018746422438465943,0.34459072696050375,0.23683457355466514,0.08915283342873498,0.06081854607899256,0.11018889524899829,0.1329421866056096,0.0015741270749856898,0.005151688609044075
10836438212793073664,0.026875250701965503,0.44404332129963897,0.17208182912154033,0.07741676694745286,0.06778981147212194,0.06618531889290012,0.13357400722021662,0.004412354592860008,0.00762133975130365
10836438247152812032,0.02181528662420382,0.385828025477707,0.1909235668789809,0.10031847133757962,0.0963375796178344,0.08168789808917197,0.1124203821656051,0.002070063694267516,0.008598726114649681
10836438315872288768,0.015750064549444876,0.34482313452104313,0.2168861347792409,0.08636715724244771,0.04944487477407694,0.11631809966434288,0.16305189775367931,0.0023237800154918666,0.005034856700232378
10836438418951503872,0.01784609947875254,0.30850781871190036,0.22431310186412226,0.11352592985246046,0.10071561091969256,0.09921371145860942,0.12589451364961568,0.0025620637865535825,0.0074211502782931356
10836438453311242240,0.01988155668358714,0.3333333333333333,0.21869712351945855,0.12225042301184433,0.10829103214890017,0.08587140439932318,0.10279187817258884,0.002961082910321489,0.005922165820642978
10836438659469672448,0.021317542561065876,0.3067357512953368,0.1850481125092524,0.14241302738712064,0.09888971132494448,0.11339748334566987,0.12065136935603257,0.003700962250185048,0.007846039970392302
10836438762548887552,0.021243723445345693,0.3294708381614523,0.18848976438779452,0.1409810737736578,0.13093858632676708,0.07840865198918501,0.10428736964078796,0.001544998068752414,0.004634994206257242
10836438796908625920,0.027517387360145147,0.3664953129724826,0.170547323858482,0.11823404898699728,0.16087087995161778,0.05805866344118536,0.08859993952222558,0.002419110976716057,0.00725733293014817
10836438831268364288,0.037728510307273436,0.39362115908206924,0.1423570595099183,0.11824192921042397,0.14002333722287047,0.06923376118241929,0.08012446518864255,0.0027226760015558148,0.015947102294826914
10836438865628102656,0.027545233594382934,0.28544423440453687,0.21712125303807722,0.14582770726438024,0.11585201188225763,0.09991898460707535,0.09586821496084257,0.004320820955981636,0.008101539292465569
