Id;RecorridoTransantiago
9176;B05 BARRIO SAN IGNACIO - CIUDAD EMPRESARIAL
9180;B27 (METRO) VESPUCIO NORTE - MAPOCHO
9182;B17 HUAMACHUCO - AV. ARZOBISPO VALDIVIESO
9184;B24 HUAMACHUCO - MAPOCHO
9195;B28 HUAMACHUCO - (METRO) QUINTA NORMAL
9200;B20 POB. MIRAFLORES - MAPOCHO
9201;B07 SANTA LUISA - PARQUE INDUSTRIAL
9206;B15 ARZOBISPO VALDIVIESO - MAPOCHO
9214;B06 (METRO) ZAPADORES - SANTA LAURA
9217;B09 MIRAFLORES - HOSPITAL FELIX BULNES
9220;B18 VILLA PUCARA - (METRO) VESPUCIO NORTE
9227;F21 PIE ANDINO - VILLA LA PRIMAVERA
9230;F11 LAS VIZCACHAS - PIE ANDINO
9235;F04 PIE ANDINO - RIVERA RIO MAIPO
9245;F18 VILLA CHILOE - (METRO) PLAZA PUENTE ALTO
9283;F12 BAJOS DE MENA - (METRO) PLAZA PUENTE ALTO
9287;F17 PIE ANDINO - MALL PLAZA TOBALABA
9296;F09 PIE ANDINO - (METRO) ELISA CORREA
9314;F08 VILLA PADRE HURTADO - DIEGO PORTALES
9326;F14 VILLA PADRE HURTADO - (METRO) PLAZA PUENTE A
9359;F19 PIE ANDINO - MALL PLAZA TOBALABA
9376;F03C PIE ANDINO - VILLA LAS MAMIÑAS (RECORRIDO CORTO)
9389;F02 PIE ANDINO - SAN GERONIMO
9390;F22 PIE ANDINO - EL TRANQUE
9425;208 HUECHURABA - CENTRO
9434;502C CERRO NAVIA - SANTIAGO (RECORRIDO CORTO)
9460;201E EXPRESO MALL PLAZA NORT - SAN BERNARDO
9461;201 MALL PLAZA NORTE - SAN BERNARDO
9468;B19 HUECHURABA - CAMINO PUNTA MOCHA
9475;B13 LO MARCOLETA - (METRO) VESPUCIO NORTE
9483;D06 SUCRE - (METRO) BELLAVISTA DE LA FLORIDA
9484;E17 (METRO) BELLAVISTA DE LA FLORIDA - LAS PERDI
9490;101C (METRO) BLANQUEADO - CERRILLOS (RECORRIDO CORTO)
9502;117 (METRO) VESPUCIO NORTE - PROVIDENCIA
9534;406C (METRO) ESCUELA MILITAR - CANTAGALLO (RECORRIDO CORTO)
9538;B01 EL SALTO - HUAMACHUCO
9539;B10 VILLA LOS LIBERTADORES - HOSPITALES
9542;507C (METRO) PARQUE OHIGGINS - PEÑALOLEN (RECORRIDO CORTO)
9543;J03 COSTANERA SUR - (METRO) REPUBLICA
9545;J11 LOMAS DE LO AGUIRRE - (METRO) PAJARITOS
9549;J18C AV. LA ESTRELLA - (METRO) SAN PABLO (RECORRIDO CORTO)
9550;J12 (METRO) PAJARITOS - CIUDAD DE LOS VALLES
9553;J13C (METRO) SAN PABLO - COSTANERA SUR (RECORRIDO CORTO)
9554;J08 PUDAHUEL SUR - HOSPITAL FELIX BULNES
9559;J15 LA ALIANZA - (METRO) SAN ALBERTO HURTADO
9563;J01C CARRASCAL - (METRO) QUINTA NORMAL (RECORRIDO CORTO)
9564;J04 (METRO) NEPTUNO - LA ALIANZA
9566;J05 AV. ESPAÑA - COSTANERA SUR
9574;J04C (METRO) LO PRADO - LA ALIANZA (RECORRIDO CORTO)
9576;J01 PUDAHUEL SUR - (METRO) QUINTA NORMAL
9578;J19C PUDAHUEL SUR - (METRO) BLANQUEADO (RECORRIDO CORTO)
9580;J16 COSTANERA SUR - (METRO) ESTACIÓN CENTRAL
9581;J15C LA ALIANZA - (METRO) NEPTUNO (RECORRIDO CORTO)
9582;J06 COSTANERA SUR - (METRO) PAJARITOS
9620;J02 ENEA - AV. ESPAÑA
9626;J18 ENEA - (METRO) SAN PABLO
9647;C04 VITAL APOQUINDO - (METRO) MANUEL MONTT
9654;C09 LA DEHESA - VITAL APOQUINDO
9655;C17 CERRO 18 - LOS TRAPENSES
9661;C19 BERNARDO LARRAIN COTAPOS - CANTAGALLO
9662;C21 MALL PASEO LOS TRAPENSES - CANTAGALLO
9663;C08 CAMINO REAL - CANTAGALLO
9664;C05 LA ERMITA - (METRO) FRANCISCO BILBAO
9671;C01 (METRO) FRANCISCO BILBAO - CERRO 18
9677;C14 (METRO) ESCUELA MILITAR - LOS TRAPENSES
9678;C11C (METRO) MANQUEHUE - TABANCURA (RECORRIDO CORTO)
9685;C13 CANTAGALLO - LA LAGUNA
9687;C02C SAN CARLOS DE APOQUINDO - (METRO) LOS DOMININICOS (RECORRIDO CORTO)
9689;C02 SAN CARLOS DE APOQUINDO - (METRO) ESCUELA MILITAR
9695;C03 ROTONDA PEREZ ZUKJOVIC - VITAL APOQUINDO
9697;C01C (METRO) ESCUELA MILITAR - CERRO 18 (RECORRIDO CORTO)
9699;C23 LO ERMITA - LO BARNECHEA
9706;C20 (METRO) ESCUELA MILITAR - PARQUE ARAUCO
9707;C11 (METRO) ESCUELA MILITAR - TABANCURA
9708;C15 (METRO) ESCUELA MILITAR - ESTORIL
9746;E10 EL HUALLE - SANTA ROSA P21
9749;503 AV. LA ESTRELLA - VITAL APOQUINDO
9759;110C RENCA - PUDAHUEL SUR (RECORRIDO CORTO)
9770;B26 EL CORTIJO - (METRO) ESTACIÓN CENTRAL
9797;108 MAIPU - LA FLORIDA
9798;101 RECOLETA - CERRILLOS
9815;F01C (METRO) PLAZA PUENTE ALTO - CASAS VIEJAS (RECORRIDO CORTO)
9816;F13C JUANITA - (METRO) PLAZA PUENTE ALTO (RECORRIDO CORTO)
9863;J14C VILLA ROOSEVELT - PUDAHUEL SUR (RECORRIDO CORTO)
9871;I21 RENE OLIVARES - VILLA HERNAN DIAZ
9879;I12 PUEBLITO LA FARFANA - MALL PLAZA OESTE
9880;I10 VILLA LOS HEROES - USACH
9905;I07 RINCONADA - CALLEJON DE LOS PERROS
9929;I06 RINCONADA - CAMINO A LONQUEN
9934;I05 VILLA LOS MAITENES - MALL PLAZA OESTE
9941;I02 RINCONADA - (METRO) PAJARITOS
9956;110 RENCA - MAIPU
9957;111 (METRO) PAJARITOS - MAIPU
