MediosUsados
1
"1;1"
"1;1;1"
"1;3;4;7"
"1;4"
"1;4;1;4"
"1;4;12"
"1;4;3;17"
"1;8"
10
11
"11;1"
"11;11"
"11;12"
"11;14"
"11;17"
"11;2"
"11;2;2"
"11;3"
"11;3;2"
"11;3;3"
"11;3;3;2"
"11;3;4;5"
"11;4"
"11;4;17"
"11;4;2"
"11;4;3"
"11;4;5"
"11;5"
"11;7"
"11;8"
12
"12;1"
"12;11"
"12;12"
"12;12;12"
"12;12;2"
"12;12;4"
"12;12;7"
"12;14"
"12;14;12"
"12;14;4"
"12;15"
"12;17"
"12;2"
"12;2;2"
"12;2;3"
"12;3"
"12;3;2"
"12;3;3"
"12;3;4;3"
"12;4"
"12;4;1"
"12;4;15"
"12;4;2"
"12;4;3"
"12;4;5"
"12;5"
"12;8"
13
"13;4;2"
14
"14;11"
"14;12"
"14;12;4"
"14;14"
"14;2"
"14;3"
"14;4"
"14;4;17"
"14;4;2"
"14;4;3"
"14;5"
"14;5;5"
15
"15;17"
"15;4"
"15;4;12"
"15;9"
16
"16;4"
"16;5"
17
"17;11"
"17;12"
"17;15"
"17;2"
"17;3"
"17;3;2"
"17;3;3"
"17;3;4"
"17;4"
"17;4;2"
"17;4;3"
"17;4;5"
"17;4;7"
"17;5"
"17;5;4"
"17;8"
"17;9"
18
2
"2;11"
"2;12"
"2;12;3"
"2;14"
"2;16;4"
"2;17"
"2;2"
"2;2;17"
"2;2;2"
"2;2;3"
"2;2;3;3"
"2;2;4"
"2;2;5"
"2;3"
"2;3;11"
"2;3;12"
"2;3;14"
"2;3;15"
"2;3;16"
"2;3;2"
"2;3;3"
"2;3;3;2"
"2;3;3;3"
"2;3;4"
"2;3;4;2"
"2;3;5"
"2;3;8"
"2;4"
"2;4;1"
"2;4;11"
"2;4;12"
"2;4;14"
"2;4;15"
"2;4;17"
"2;4;18"
"2;4;2"
"2;4;2;17"
"2;4;2;3"
"2;4;3"
"2;4;3;11"
"2;4;3;2"
"2;4;3;3"
"2;4;4;2"
"2;4;4;3"
"2;4;5"
"2;4;7"
"2;4;8"
"2;4;9"
"2;5"
"2;8"
3
"3;1"
"3;11"
"3;12"
"3;12;12"
"3;14"
"3;14;12;3"
"3;15"
"3;16;2"
"3;17"
"3;2"
"3;2;2"
"3;2;2;2;12"
"3;2;3"
"3;2;4;2"
"3;2;4;3"
"3;2;5"
"3;2;7"
"3;3"
"3;3;11"
"3;3;12"
"3;3;14"
"3;3;17"
"3;3;2"
"3;3;2;11"
"3;3;2;3"
"3;3;3"
"3;3;3;2"
"3;3;3;3"
"3;3;3;3;3;3;3"
"3;3;4"
"3;3;4;5"
"3;3;5"
"3;3;7"
"3;4"
"3;4;11"
"3;4;12"
"3;4;14"
"3;4;17"
"3;4;2"
"3;4;2;2"
"3;4;3"
"3;4;3;12"
"3;4;3;2"
"3;4;3;3"
"3;4;3;4"
"3;4;4"
"3;4;4;2"
"3;4;4;3"
"3;4;5"
"3;4;7"
"3;4;8"
"3;5"
"3;5;2"
"3;5;5;3"
"3;7"
"3;7;7"
"3;8"
4
"4;1"
"4;11"
"4;12"
"4;12;5"
"4;14"
"4;14;5"
"4;15"
"4;16"
"4;17"
"4;2"
"4;2;2"
"4;2;3"
"4;2;8"
"4;3"
"4;3;12"
"4;3;2"
"4;3;3"
"4;3;5"
"4;3;7"
"4;3;8"
"4;4"
"4;4;2"
"4;5"
"4;7"
"4;8"
5
"5;11"
"5;11;11"
"5;12"
"5;12;3"
"5;12;4"
"5;12;7"
"5;14"
"5;14;4"
"5;14;5"
"5;16"
"5;16;5;8"
"5;17"
"5;2"
"5;2;2"
"5;2;3"
"5;3"
"5;3;2"
"5;3;3"
"5;3;4"
"5;4"
"5;4;11"
"5;4;12"
"5;4;2"
"5;4;3"
"5;4;3;5"
"5;4;5"
"5;4;7"
"5;5"
"5;5;7"
"5;7"
"5;8"
6
7
"7;12"
"7;12;17"
"7;14"
"7;14;7"
"7;3"
"7;3;2"
"7;4"
"7;4;1"
"7;4;2"
"7;4;3"
"7;4;5"
"7;4;7"
"7;5"
"7;5;4"
"7;7"
"7;8"
8
9
"9;15"
"9;17"
"9;4"
"9;9"
